doc_name,query,num_answer,answer
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q1 임상시험 계획 승인 대상
 식품의약품안전처의 의약품 임상시험 계획 승인 대상
",1,"['○ 「약사법」 제2조제15호에 “임상시험” 이란 의약품 등의 안전성과 유효성을 증명하기\n 위하여 사람을 대상으로 해당 약물의 약동, 약력, 약리, 임상적 효과를 확인하고\n 이상반응을 조사하는 시험으로 규정하고 있으며,\n - 같은 법 제34조에 따라 의약품등으로 임상시험을 하려는 자(연구자임상시험 포함)는\n 식품의약품안전처장(이하 식약처장)의 승인을 받아야 합니다.\n [단, 식품의약품안전처 승인 제외 대상은 q2 참고]\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q2 임상시험 계획 승인 제외 대상
 의약품등으로 임상시험을 하려는 자는 모두 식약처 승인을 받아야 하는지,
 식약처 승인 없이 임상시험을 할 수 있는 경우가 있는지
",1,"['○ 아래와 같은 의약품 임상시험은 「약사법」 제34조제2항 및 「의약품 등의 안전에\n 관한 규칙」 제24조제8항에 따라, 식약처장의 승인 대상에서 제외됩니다.\n 1. 판매 중인 의약품등의 허가사항에 대한 임상적 효과관찰 및 이상반응 조사를 위하여\n 실시하는 시험\n 2. 판매 중인 의약품등의 허가된 효능ㆍ효과 등에 대한 안전성ㆍ유효성 자료의 수집을\n 목적으로 하는 시험\n 3. 대체의약품 또는 표준치료법 등이 없어 기존의 치료방법으로는 만족할 만한 효과를 기대\n 하기 어려워, 생명에 위협을 주는 질환인 말기암 또는 후천성면역결핍증 등의 치료법을\n 개발하기 위하여 판매 중인 의약품등을 사용하는 시험\n 4. 의약외품을 사용하는 시험\n 5. 그 밖에 판매 중인 의약품등을 사용하는 경우에 안전성과 직접적으로 관련되지 아니하\n 거나 윤리적인 문제가 발생할 우려가 없는 경우로서 식약처장이 정하는 경우\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q3 임상시험 계획 승인 신청 시 제출 자료
 의약품 임상시험 계획 승인 신청 시 제출 자료
",1,"['○ 「의약품 등의 안전에 관한 규칙」 제24조제1항에 따라, 동 규칙 [별지 제23호 서식]\n 임상시험계획 승인(변경승인) 신청서(전자문서로 된 신청서 포함)에 아래의 서류\n (전자문서 포함) 및 자료(전자문서 포함)를 첨부하여 제출하여 합니다.\n 1. 개발계획\n 2. 임상시험자 자료집\n 3. 별표 1의 의약품 제조 및 품질관리기준 및 별표 4의2의 임상시험용의약품 제조\n 및 품질관리기준에 맞게 제조되었음을 증명하는 서류 또는 자료. 이 경우 임상\n 시험용의약품이 다음 각 목에 해당하는 경우에는 해당 기준에 맞게 제조되었음을\n 증명하는 서류 또는 자료 추가 제출 필요.\n 가. 생물학적제제등: 별표 3의 생물학적제제등 제조 및 품질관리기준\n 나. 방사성의약품: 별표 3의2의 방사성의약품 제조 및 품질관리기준\n 다. 의료용 고압가스: 별표 3의3의 의료용 고압가스 제조 및 품질관리기준\n 3의2. 「혈액관리법」 제2조제8호에 따른 혈액제제의 경우 별표 3의4의 혈액제제\n 제조 및 품질관리기준에 맞게 제조되었음을 증명하는 서류 또는 자료\n 4. 임상시험용의약품 관련 제조 및 품질에 관한 자료\n 5. 비임상시험성적에 관한 자료\n 6. 시험약의 과거 임상적 사용경험에 관한 자료(제출할 수 있는 경우만 해당한다)\n 7. 법 제34조의2제2항에 따른 임상시험실시기관, 임상시험검체분석기관, 시험자 및\n 수탁기관 등에 관한 자료\n 8. 임상시험 피해자 보상에 관한 규약\n 9. 시험대상자 동의서 서식\n 10. 임상시험계획서\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q4 임상시험계획서에 포함되어야 할 사항
 임상시험계획 승인 신청 시 임상시험계획서에 반드시 포함되어야 하는 항목은
",1,"['○ 임상시험계획서에 포함되어야 할 사항은 아래와 같습니다.\n 1. 시험의 제목, 단계, 계획서 식별번호 및 제·개정이력 등\n 2. 시험계획서 요약\n 3. 서론(배경, 이론적 근거, 유익성ㆍ위험성 평가 및 용량 설정 근거 등)\n 4. 시험의 목적\n 5. 시험모집단(대상자수, 선정기준, 제외기준 및 중도탈락기준 등)\n 6. 시험 설계 내용(시험기간, 시험군ㆍ대조군, 배정, 눈가림 및 흐름도 등)\n 7. 시험종료 및 조기중단 기준\n 8. 임상시험용의약품의 정보 및 관리(표시 및 포장, 투여경로, 투여방법, 보관조건,\n 수불관리, 회수 및 폐기 등)\n 9. 시험의 방법 및 투약계획 등(투여 및 치료일정, 병용약물, 투여금지 약물 및 치료\n 순응도 등)\n 10. 시험 절차 및 평가(방문일정, 시험일정표, 유효성ㆍ안전성 평가변수와 평가 및\n 이상반응 보고 등)\n 11. 자료분석 및 통계학적 고려사항(분석군, 통계분석방법, 판정기준, 분석시기 및\n 대상자수 설정근거 등)\n 12. 자료관리(기록, 수집, 접근, 보호 및 보관 등)\n 13. 윤리적 고려사항 및 행정적 절차(임상시험관리기준 및 동의절차 등 규정, 윤리준수,\n 대상자 안전보호 대책, 결과발표, 환자기록 비밀유지, 품질관리 및 신뢰성 보증 등)\n 14. 임상시험을 하려는 자(임상시험 의뢰자)의 정보, 시험책임자 성명 및 직책\n 15. 두 제제에 대한 동등성을 확인하기 위하여 실시하는 비교용출 시험방법(임상시험 중\n 생물학적 동등성시험을 실시하는 경우만 해당한다). 다만, 생물학적 동등성시험에\n 사용할 대조약과의 비교용출 시험 결과가 대조약과 동등한 것으로 판정된 품목\n 으로서 비교용출 시험 실시 후 해당 품목의 원료약품 및 그 분량, 제조방법 및\n 제조원의 변경이 없는 품목은 비교용출 시험방법을 적지 아니할 수 있음.\n 16. 그 밖에 임상시험을 안전하게 과학적으로 실시하기 위하여 필요한 사항\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q5 변경보고 대상의 변경승인 가능 여부
 임상시험계획 중 변경보고 대상에 해당하는 내용의 변경이 있는 경우, 변경승인으로
 민원 신청이 가능한가요?
",1,"['○ 「의약품등의 안전에 관한 규칙」 제24조제5항에 따라 변경보고에 해당하는 임상\n 시험계획의 변경은 변경보고로 진행 하여야 합니다.\n * 보고사항에 대해 검토의견을 받고자 하는 경우, 「약사법」 제35조의2제1항 및 「의\n 약품 등의 안전에 관한 규칙」 제41조에 따른 사전검토 제도를 활용할 수 있습니다.\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q6 허가된 의약품의 임상시험의 경우, 임상시험계획 승인 대상 여부
 허가되어 판매 중인 의약품을 사용하여 임상시험을 하는 경우, 임상시험계획에 대해
 식품의약품안전처장의 승인을 받아야 하는지
",2,"['○ 「약사법」 제2조제15호에 “임상시험” 이란 의약품 등의 안전성과 유효성을 증명하기\n 위하여 사람을 대상으로 해당 약물의 약동, 약력, 약리, 임상적 효과를 확인하고\n 이상반응을 조사하는 시험으로 규정하고 있으며, 같은 법 제34조에 의약품등으로\n 임상시험을 하려는 자는 그에 관한 계획서를 작성하여 식약처장의 승인을 받도록 정하고\n 있습니다.\n', '○ 다만, 「의약품 등의 안전에 관한 규칙」 제24조제8항에 따라 판매 중인 의약품등의\n 허가 사항에 대한 임상적 효과관찰 및 이상반응 조사를 위하여 실시하는 시험, 판매\n 중인 의약품등의 허가된 효능·효과 등에 대한 안전성·유효성 자료의 수집을 목적으로\n 하는 시험 등의 경우에는 식약처장의 승인대상에서 제외한다고 규정하고 있습니다.\n - 따라서, 허가되어 판매 중인 의약품을 사용하여 허가사항에 대한 효과관찰, 안전성·\n 유효성 자료 수집을 위한 시험은 식약처장의 승인대상에서 제외되며,\n - 허가된 의약품을 사용하더라도 효능·효과, 용법·용량 등이 허가사항 범위 내에 해당하지\n 않는 경우에는 식약처장의 승인을 받아야 합니다.\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q7 동의서 변경 시 임상시험 변경승인 필요 여부
 시험대상자 동의서 변경 시 임상시험계획변경승인이 필요한지
",1,"['○ 임상시험계획의 변경 중 「의약품 등의 안전에 관한 규칙」 제24조제4항 및 「의약품\n 임상시험 계획 승인에 관한 규정」(식약처 고시) 제9조, 제10조에 따른 변경사항은\n 변경승인을 받아야 합니다.\n - 동의서 내용의 변경은 해당 규정에 따른 변경 승인 대상이 아니며, 「의약품 임상\n 시험 계획 승인에 관한 규정」 제9조제3항에 따라 식약처장의 별도 승인없이 해당\n 기관의 임상시험심사위원회의 승인을 받아 임상시험을 실시할 수 있습니다.\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q8 생동성 시험 의약품의 기준 및 시험방법 변경 시 변경승인 대상 여부
 생물학적동등성시험을 실시하고자 임상시험계획 승인을 받은 의약품의 첨가제 또는
 기준 및 시험방법이 변경되는 경우, 임상시험계획 변경승인이 필요한지
",2,"['○ 생물학적동등성시험용 의약품 중 주성분이 아닌 사용예가 있는 첨가제를 변경하거나\n 기준 및 시험방법을 변경하는 경우에는 「의약품 임상시험 계획 승인에 관한 규정」\n (식약처 고시) 제9조제3항에 따라 식약처장의 별도 변경 승인 없이 임상시험 실시가\n 가능하며,\n - 위와 같이 생물학적 동등성 시험을 실시한 경우에는 동 규정 같은 조 제4항에 따라\n 임상시험 결과보고서(생물학적 동등성 시험 결과보고서)에 변경사항을 반영하여야\n 합니다.\n', '○ 다만, 「의약품 등의 안전에 관한 규정」 제24조제4항 및 「의약품 임상시험 계획 승인에\n 관한 규정」제10조제1항에 임상시험용의약품의 주성분 분량을 변경하거나 사용예가\n 없는 새로운 첨가제를 사용하는 경우 변경승인 대상이라고 규정하고 있습니다.\n 2 임상시험 관련 보고\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q9 임상시험 관련 보고의 종류
 임상시험계획승인을 받은 자(의뢰자)가 식약처장에게 제출해야 하는 보고는
",1,"['○ 의약품 임상시험 계획 승인을 받은 자가 식약처장에게 제출하여야 할 임상시험 관련\n 보고의 종류는 아래와 같습니다.\n 1. 최초 시험대상자 선정보고 : 국내에서 처음으로 임상시험 대상자가 등록된 일자, 실시\n 기관 등의 내용을 포함하여 등록한 일로부터 30일 이내 식약처장에게 제출\n 2. 최종 시험대상자 선정보고: 국내·외에서 마지막으로 임상시험 대상자가 등록된 일자를\n 선정한 일로부터 30일 이내 식약처장에게 제출\n 3. 임상시험실시상황보고 : 매년 임상시험실시상황에 대하여 임상시험 실시상황 보고서에 실\n 시현황 목록을 첨부하여 다음 해 3월 말까지 식약처장에게 제출\n 4. 임상시험 종료보고(최종 시험대상자 관찰 종료보고) : 모든 임상시험 대상자의 관찰\n 종료일부터 20일 이내 실시기관별 대상자의 최초 등록 일자, 수, 관찰 종료 일자 등의\n 내용을 포함하여 식약처장에게 제출\n 5. 임상시험 조기종료보고 : 임상시험 계획서에 따라 종료하지 못한 임상시험에 한하여\n 시험책임자 보고일자, 종료 예정일자, 조기종료 사유, 추적관찰 계획, 의약품 반납/폐기\n 계획 등의 내용을 포함하여 신속히 식약처장에게 제출\n 6. 임상시험 일시중지 및 재개 보고: 임상시험이 일시중지 및 재개된 경우 해당 사실과 조치계\n 획을 신속히 식약처장에게 제출\n 7. 최종결과보고: 최종 시험대상자(다국가 임상시험의 경우 국외 시험대상자를 포함한다)\n 관찰 종료일로부터 1년 이내 식약처장에게 제출(2019.10.26. 승인 받은 임상시험부터 적용)\n 8. 임상시험용 의약품의 안전성 관련 보고\n ① 안전성정보 보고 : 대상자의 안전을 위협하거나, 임상시험의 실시 여부에 영향을 미치\n 거나, 임상시험의 진행과 관련하여 심사위원회의 결정사항을 변경하게 할 만한 임\n 상시험용 의약품의 안전성에 관한 정보를 취득한 경우에는 식약처장에게 신속히 제출\n ② 중대하고 예상하지 못한 모든 약물이상반응(susar)는 사망을 초래하거나 생명을 위협\n 하는 경우에는 의뢰자가 해당 사실을 보고받거나 알게 된 날부터 7일 이내. 그 밖의\n 중대하고 예상하지 못한 약물이상반응의 경우에는 의뢰자가 해당 사실을 보고받거나\n 알게 된 날부터 15일 이내 식약처에 제출\n 9. 모니터링이나 점검을 통하여 시험자의 지속적인 위반 또는 중대한 위반이 확인된 경우\n 해당 임상시험실시기관의 임상시험 참여를 중지시키고, 그 사실을 식약처장에게 제출\n 10. 임상시험용 의약품의 임상개발이 중단된 경우 그 사실을 식약처장에게 제출\n ※ 각 보고는 의약품안전나라(https://nedrug.mfds.go.kr/) 전자보고신청으로 제출 바랍니다.\n']"
30. 2021+임상시험+관련+자주묻는+질의응답.txt,"q10 임상시험계획서 변경보고 대상
 임상시험계획서를 변경하고자 할 때, 식약처의 변경승인 없이 변경보고 후, 임상시험
 실시가 가능한 경우는?
",1,"['○ 「의약품등의 안전에 관한 규칙」 제24조제5항에 따라 변경보고 대상은 다음과 같습니다.\n 1) 임상시험실시기관 또는 임상시험검체분석기관의 변경\n 2) 시험책임자의 변경\n 3) 다음 어느 하나에 해당하는 변경으로 시험대상자의 안전 또는 시험결과의 신뢰성에\n 중대한 영향을 미치지 아니하는 변경\n - 시험모집단의 변경으로서 대상자수의 유의한 변경, 대상자 선정기준의 변경, 대상자\n 제외기준의 변경 또는 중도탈락 기준의 완화\n - 시험설계의 변경으로서 시험군 또는 대조군의 제외\n - 임상시험용의약품 정보의 변경으로서 기준의 완화, 시험항목의 삭제 또는 제조원의 변경\n - 안전성ㆍ유효성 평가기준의 변경으로서 평가변수의 변경\n 3의2) 시험군 또는 대조군의 추가\n 3의3) 임상시험 종료 및 조기중단 기준의 변경\n 3의4) 임상시험대상자에 대한 투약방법 및 투약기간의 변경\n 3의5) 임상시험용의약품에 대한 안전성ㆍ유효성 평가방법의 변경\n 4) 기타 탐색적 평가변수의 변경\n']"
